keyword,betweenness_centrality,membership,freq_depressive,freq_nondepressive
talented,0.066296,depressive_only,774,0
understanding,0.06296,depressive_only,694,0
focused,0.051688,nondepressive_only,0,534
cases,0.048562,depressive_only,549,0
ace,0.046322,depressive_only,621,0
china,0.04325,nondepressive_only,0,527
policy,0.04185,depressive_only,696,0
justice,0.036655,nondepressive_only,0,491
rape,0.035409,nondepressive_only,0,510
pakistan,0.033586,nondepressive_only,0,573
fans,0.027901,depressive_only,894,0
handsome,0.025536,depressive_only,654,0
education,0.025216,both,1122,495
justiceformanishavalmiki,0.024951,nondepressive_only,0,561
unique,0.022226,depressive_only,1162,0
govt,0.020784,both,557,555
pay,0.018333,nondepressive_only,0,509
powerful,0.017243,depressive_only,669,0
indian,0.015294,both,638,621
paid,0.014547,nondepressive_only,0,570
